frame,total_ms,raster_ms,other_ms,flushes,tris,binned
590,32.664,27.073,5.591,2,1318,11252
591,33.375,27.768,5.608,2,1318,11252
592,33.207,27.630,5.578,2,1318,11248
593,33.026,27.419,5.607,2,1318,11252
594,34.178,28.280,5.898,2,1318,11252
595,33.808,27.447,6.362,2,1318,11248
596,33.199,27.614,5.585,2,1318,11220
597,33.308,27.756,5.552,2,1318,11224
598,33.144,27.589,5.555,2,1318,11224
599,33.197,27.380,5.818,2,1318,11216
600,33.274,27.685,5.589,2,1318,11204
601,33.665,27.822,5.843,2,1318,11208
602,33.283,27.522,5.761,2,1316,11200
603,4.733,3.722,1.010,1,2,480
604,16.829,3.885,12.944,1,2,480
605,16.678,3.898,12.780,1,2,480
606,16.486,3.717,12.769,1,2,480
607,16.628,3.680,12.948,1,2,480
608,16.845,3.857,12.988,1,2,480
609,16.596,3.785,12.811,1,2,480
610,22.421,5.811,16.610,2,1102,3298
611,16.777,5.822,10.955,2,1102,3298
612,17.199,6.406,10.793,2,1102,3298
613,15.986,5.742,10.245,2,1102,3298
614,16.952,6.006,10.946,2,1102,3298
615,16.726,6.151,10.575,2,1102,3298
616,16.645,6.092,10.553,2,1102,3298
617,16.865,6.197,10.669,2,1102,3298
618,16.245,6.030,10.215,2,1102,3298
619,16.949,6.141,10.808,2,1102,3298
620,16.204,5.680,10.524,2,1102,3298
621,16.773,5.804,10.969,2,1102,3298
622,16.922,6.041,10.881,2,1102,3298
623,16.574,5.931,10.643,2,1102,3298
624,16.656,5.932,10.724,2,1102,3298
625,16.616,5.817,10.799,2,1102,3298
626,17.093,6.330,10.763,2,1102,3298
627,16.463,6.054,10.409,2,1102,3298
628,18.502,6.541,11.961,2,1102,3298
629,16.973,6.241,10.732,2,1102,3298
630,17.683,6.613,11.070,2,1102,3298
631,16.308,6.026,10.281,2,1102,3298
632,17.163,6.085,11.078,2,1102,3298
633,17.264,6.424,10.840,2,1102,3298
634,17.930,6.361,11.569,2,1102,3298
635,16.846,6.008,10.838,2,1102,3298
636,17.516,6.047,11.470,2,1102,3298
637,17.465,6.060,11.405,2,1102,3298
638,16.791,5.895,10.896,2,1102,3298
639,17.181,6.074,11.106,2,1102,3298
640,16.787,6.039,10.748,2,1102,3298
641,16.914,5.814,11.099,2,1102,3298
642,16.729,5.714,11.015,2,1102,3298
643,17.278,5.820,11.457,2,1102,3298
644,16.602,5.741,10.861,2,1102,3298
645,18.523,5.820,12.703,2,1102,3298
646,17.910,6.898,11.012,2,1102,3298
647,15.796,6.021,9.774,2,1102,3298
648,16.214,5.717,10.498,2,1102,3298
649,16.955,5.756,11.199,2,1102,3298
650,16.780,5.798,10.982,2,1102,3298
